NDB_No,Shrt_Desc,Main food description,Food code,FoodCategory
01082,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D","Milk, calcium fortified, low fat (1%)",11111160,Milk and Milk Products
01082,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D","Milk, acidophilus, low fat (1%)",11112120,Milk and Milk Products
01082,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D","Milk, low fat (1%)",11112210,Milk and Milk Products
01082,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D","Milk, lactose free, low fat (1%)",11114300,Milk and Milk Products
01085,"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)","Milk, fat free (skim)",11113000,Milk and Milk Products
01085,"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)","Milk, lactose free, fat free (skim)",11114320,Milk and Milk Products
01088,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT","Buttermilk, fat free (skim)",11115000,Milk and Milk Products
01088,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT","Buttermilk, low fat (1%)",11115100,Milk and Milk Products
01089,"MILK,LO NA,FLUID","Milk, low sodium, whole",11111100,Milk and Milk Products
01090,"MILK,DRY,WHL,W/ ADDED VITAMIN D","Milk, dry, not reconstituted, whole",11811000,Milk and Milk Products
01092,"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D","Milk, dry, not reconstituted, NS as to fat content ",11810000,Milk and Milk Products
01092,"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D","Milk, dry, not reconstituted, fat free (skim)",11813000,Milk and Milk Products
01095,"MILK,CND,COND,SWTND","Milk, condensed, sweetened",11220000,Milk and Milk Products
01096,"MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A","Milk, evaporated, NS as to fat content ",11210050,Milk and Milk Products
01096,"MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A","Milk, evaporated, whole ",11211050,Milk and Milk Products
01097,"MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D","Milk, evaporated, fat free (skim)",11212050,Milk and Milk Products
01102,"MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D","Chocolate milk, ready to drink, whole",11511100,Milk and Milk Products
01103,"MILK,CHOC,FLUID,COMM,RED FAT","Chocolate milk, ready to drink, reduced fat",11511200,Milk and Milk Products
01104,"MILK,CHOC,FLUID,COMM,LOWFAT,W/ ADDED VIT A & VITAMIN D","Chocolate milk, ready to drink, low fat",11511400,Milk and Milk Products
01104,"MILK,CHOC,FLUID,COMM,LOWFAT,W/ ADDED VIT A & VITAMIN D","Chocolate milk, ready to drink, low fat (Nesquik)",11511600,Milk and Milk Products
01104,"MILK,CHOC,FLUID,COMM,LOWFAT,W/ ADDED VIT A & VITAMIN D","Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",11511700,Milk and Milk Products
01106,"MILK,GOAT,FLUID,W/ ADDED VITAMIN D","Goat's milk, whole",11116000,Milk and Milk Products
01107,"MILK,HUMAN,MATURE,FLUID","Milk, human",11000000,Milk and Milk Products
01115,"WHEY,SWEET,DRIED","Whey, sweet, dry",11825000,Milk and Milk Products
