NDB_No,Shrt_Desc,Main food description,Food code,FoodCategory
06976,"SAUCE,PASTA,SPAGHETTI/MARINARA,RTS,LO NA","Spaghetti sauce, reduced sodium",74404050,Vegetables
06977,"GRAVY,MEAT OR POULTRY,LO NA,PREP","Gravy, poultry, low sodium",28500030,"Meat, Poultry, Fish, and Mixtures"
06977,"GRAVY,MEAT OR POULTRY,LO NA,PREP","Gravy, beef or meat, low sodium",28500060,"Meat, Poultry, Fish, and Mixtures"
06980,"SOUP,BF STROGANOFF,CND,CHUNKY STYLE,RTS","Beef stroganoff soup, chunky style, home recipe, canned or ready-to-serve",28317010,"Meat, Poultry, Fish, and Mixtures"
07005,BLOOD SAUSAGE,Blood sausage,25220210,"Meat, Poultry, Fish, and Mixtures"
07007,"BOLOGNA,BF",Deer sausage,23322100,"Meat, Poultry, Fish, and Mixtures"
07013,"BRATWURST,PORK,CKD",Bratwurst,25220350,"Meat, Poultry, Fish, and Mixtures"
07014,"BRAUNSCHWEIGER (A LIVER SAUSAGE),PORK",Liverwurst,25230560,"Meat, Poultry, Fish, and Mixtures"
07016,"CHEESEFURTER,CHS SMOKIE,PORK,BF","Frankfurter or hot dog, cheese-filled",25210150,"Meat, Poultry, Fish, and Mixtures"
07019,"CHORIZO,PORK AND BEEF",Chorizo,25220710,"Meat, Poultry, Fish, and Mixtures"
07022,"FRANKFURTER,BF,UNHTD","Frankfurter, wiener, or hot dog, NFS",25210110,"Meat, Poultry, Fish, and Mixtures"
07022,"FRANKFURTER,BF,UNHTD","Frankfurter or hot dog, beef",25210210,"Meat, Poultry, Fish, and Mixtures"
07024,"FRANKFURTER,CHICK","Frankfurter or hot dog, chicken",25210310,"Meat, Poultry, Fish, and Mixtures"
07025,"FRANKFURTER,TURKEY","Frankfurter or hot dog, turkey",25210410,"Meat, Poultry, Fish, and Mixtures"
07027,"HAM,CHOPPED,NOT CANNED","Ham luncheon meat, loaf type",25230420,"Meat, Poultry, Fish, and Mixtures"
07028,"HAM,SLICED,PACKAGED (96% FAT FREE,H2O ADDED)","Luncheon meat, NFS",25230110,"Meat, Poultry, Fish, and Mixtures"
07028,"HAM,SLICED,PACKAGED (96% FAT FREE,H2O ADDED)","Ham, prepackaged or deli, luncheon meat",25230210,"Meat, Poultry, Fish, and Mixtures"
07031,HAM SALAD SPREAD,Ham salad spread,25240220,"Meat, Poultry, Fish, and Mixtures"
07034,"HEADCHEESE,PORK",Head cheese,25220910,"Meat, Poultry, Fish, and Mixtures"
07038,KNACKWURST  KNOCKWURST  PORK  BF,Knockwurst,25221110,"Meat, Poultry, Fish, and Mixtures"
07043,"ROAST BF,DELI STYLE,PREPACKAGED,SLICED","Pastrami, made from any kind of meat, reduced fat",25221220,"Meat, Poultry, Fish, and Mixtures"
07043,"ROAST BF,DELI STYLE,PREPACKAGED,SLICED","Beef, prepackaged or deli, luncheon meat",25231110,"Meat, Poultry, Fish, and Mixtures"
07050,"MORTADELLA,BEEF,PORK",Mortadella,25221210,"Meat, Poultry, Fish, and Mixtures"
07053,"PATE,CHICKEN LIVER,CANNED","Liver paste or pate, chicken",25112200,"Meat, Poultry, Fish, and Mixtures"
07057,"PEPPERONI,PORK,BEEF","Pepperoni, NFS",25221250,"Meat, Poultry, Fish, and Mixtures"
07058,"PICKLE&PIMIENTO LOAF,PORK","Luncheon meat, loaf type",25230610,"Meat, Poultry, Fish, and Mixtures"
07064,"PORK SAUSAGE,LINK/PATTY,CKD,PAN-FRIED","Ham, smoked or cured, ground patty",22321110,"Meat, Poultry, Fish, and Mixtures"
07064,"PORK SAUSAGE,LINK/PATTY,CKD,PAN-FRIED","Sausage, NFS",25221400,"Meat, Poultry, Fish, and Mixtures"
07064,"PORK SAUSAGE,LINK/PATTY,CKD,PAN-FRIED",Pork sausage,25221405,"Meat, Poultry, Fish, and Mixtures"
07065,"PORK&BF SAUSAGE,FRSH,CKD",Pork and beef sausage,25221460,"Meat, Poultry, Fish, and Mixtures"
07066,"TURKEY SAUSAGE,RED FAT,BROWN&SERVE,CKD",Turkey or chicken sausage,25221830,"Meat, Poultry, Fish, and Mixtures"
07066,"TURKEY SAUSAGE,RED FAT,BROWN&SERVE,CKD","Turkey or chicken sausage, reduced fat",25221860,"Meat, Poultry, Fish, and Mixtures"
07067,POULTRY SALAD SNDWCH SPRD,Chicken salad spread,25240110,"Meat, Poultry, Fish, and Mixtures"
07070,"SALAMI,COOKED,TURKEY","Salami, made from any type of meat, reduced fat",25221505,"Meat, Poultry, Fish, and Mixtures"
07072,"SALAMI,DRY OR HARD,PORK,BF","Pepperoni, reduced fat",25221255,"Meat, Poultry, Fish, and Mixtures"
07072,"SALAMI,DRY OR HARD,PORK,BF","Salami, NFS",25221500,"Meat, Poultry, Fish, and Mixtures"
07073,"SANDWICH SPREAD,PORK,BEEF","Meat spread or potted meat, NFS",25240000,"Meat, Poultry, Fish, and Mixtures"
07078,"THURINGER,CERVELAT,SMMR SAUSAGE,BF,PORK",Thuringer,25221810,"Meat, Poultry, Fish, and Mixtures"
07081,"TURKEY BREAST,SLICED,PREPACKAGED","Turkey, prepackaged or deli, luncheon meat",25230780,"Meat, Poultry, Fish, and Mixtures"
07083,"SAUSAGE,VIENNA,CND,CHICK,BF,PORK","Vienna sausage, canned",25221910,"Meat, Poultry, Fish, and Mixtures"
07089,"SAUSAGE,ITALIAN,PORK,CKD",Italian sausage,25221350,"Meat, Poultry, Fish, and Mixtures"
07905,"FRANKFURTER,BF,PORK,& TURKEY,FAT FREE","Frankfurter or hot dog, meat and poultry, fat free",25210250,"Meat, Poultry, Fish, and Mixtures"
07906,"LUNCHEON MEAT,PORK,HAM,&CHICK,MINCD,CND,RED NA,VIT C, (SPAM)","Ham, pork, and chicken, canned luncheon meat, chopped, minced, pressed, spiced, reduced sodium",25230550,"Meat, Poultry, Fish, and Mixtures"
07908,"LUNCHEON MEAT,PORK W/HAM,MINCED,CND,INCL SPAM (HORMEL)","Ham and pork, canned luncheon meat, chopped, minced, pressed, spiced",25230530,"Meat, Poultry, Fish, and Mixtures"
07909,"LUNCHEON MEAT,PORK&CHICK,MINCED,CND,INCL SPAM LITE","Ham, pork and chicken, canned luncheon meat, chopped, minced, pressed, spiced, reduced fat and reduced sodium",25230540,"Meat, Poultry, Fish, and Mixtures"
07951,"SCRAPPLE,PORK","Scrapple, cooked",25221610,"Meat, Poultry, Fish, and Mixtures"
07954,"BEEF SAUSAGE,PRE-COOKED",Beef sausage,25220105,"Meat, Poultry, Fish, and Mixtures"
07961,"CHICKEN BREAST,DELI,ROTISSERIE SEASONED,SLICED,PREPACKAGED","Chicken, prepackaged or deli, luncheon meat",25230320,"Meat, Poultry, Fish, and Mixtures"
07962,"Frankfurter, meat and poultry, unheated","Frankfurter or hot dog, beef and pork",25210220,"Meat, Poultry, Fish, and Mixtures"
07962,"Frankfurter, meat and poultry, unheated","Frankfurter or hot dog, beef and pork, reduced fat or light",25210240,"Meat, Poultry, Fish, and Mixtures"
07962,"Frankfurter, meat and poultry, unheated","Frankfurter or hot dog, meat and poultry",25210280,"Meat, Poultry, Fish, and Mixtures"
07966,"PORK SAUSAGE,LINK/PATTY,RED FAT,CKD,PAN-FRIED","Beef sausage, reduced fat",25220106,"Meat, Poultry, Fish, and Mixtures"
07966,"PORK SAUSAGE,LINK/PATTY,RED FAT,CKD,PAN-FRIED","Pork sausage, reduced fat",25221406,"Meat, Poultry, Fish, and Mixtures"
07968,"KIELBASA,FULLY CKD,GRILLED",Polish sausage,25221310,"Meat, Poultry, Fish, and Mixtures"
07971,"BOLOGNA,MEAT & POULTRY","Bologna, NFS",25220410,"Meat, Poultry, Fish, and Mixtures"
07973,"TURKEY BACON,MICROWAVED","Turkey bacon, cooked",24208500,"Meat, Poultry, Fish, and Mixtures"
08001,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN ORIGINAL",Cereal (Kellogg's All-Bran),57101000,Grain Products
08002,"CEREALS RTE,POST,ALPHA-BITS",Cereal (Post Alpha-Bits),57103000,Grain Products
08003,"CEREALS RTE,KELLOGG,KELLOGG'S APPL JACKS",Cereal (Kellogg's Apple Jacks),57104000,Grain Products
08005,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN BRAN BUDS",Cereal (Kellogg's All-Bran Bran Buds),57110000,Grain Products
08010,"CEREALS RTE,QUAKER,CAP'N CRUNCH",Cereal (Quaker Cap'n Crunch),57117000,Grain Products
08011,"CEREALS RTE,QUAKER,CAP'N CRUNCH W/ CRUNCHBERRIES",Cereal (Quaker Cap'n Crunch's Crunchberries),57119000,Grain Products
08012,"CEREALS RTE,QUAKER,CAP'N CRUNCH'S PNUT BUTTER CRUNCH",Cereal (Quaker Cap'n Crunch's Peanut Butter Crunch),57120000,Grain Products
08013,"CEREALS RTE,GENERAL MILLS,CHEERIOS","Cereal, oat, NFS",57000100,Grain Products
08013,"CEREALS RTE,GENERAL MILLS,CHEERIOS",Cereal (General Mills Cheerios),57123000,Grain Products
08013,"CEREALS RTE,GENERAL MILLS,CHEERIOS",Cereal (Malt-O-Meal Toasted Oat Cereal),57306700,Grain Products
08014,"CEREALS RTE,KELLOGG,KELLOGG'S COCOA KRISPIES",Cereal (Kellogg's Cocoa Krispies),57126000,Grain Products
08015,"CEREALS RTE,POST,COCOA PEBBLES",Cereal (Post Cocoa Pebbles),57127000,Grain Products
08017,"CEREALS RTE,GENERAL MILLS,COOKIE CRISP",Cereal (General Mills Cookie Crisp),57130000,Grain Products
08018,"CEREALS RTE,QUAKER,QUAKER CRUNCHY BRAN",Cereal (Quaker Corn Bran Crunch),57131000,Grain Products
08019,"CEREALS RTE,GENERAL MILLS CORN CHEX",Cereal (General Mills Chex Corn),57132000,Grain Products
08020,"CEREALS RTE,KELLOGG,KELLOGG'S CORN FLAKES","Cereal, corn flakes",57134000,Grain Products
08020,"CEREALS RTE,KELLOGG,KELLOGG'S CORN FLAKES",Cereal (Kellogg's Corn Flakes),57135000,Grain Products
08023,"CEREALS RTE,KELLOGG,KELLOGG'S CRACKLIN' OAT BRAN",Cereal (Kellogg's Cracklin' Oat Bran),57143000,Grain Products
08025,"CEREALS RTE,RALSTON CRISP RICE","Cereal, crispy brown rice",57148500,Grain Products
08025,"CEREALS RTE,RALSTON CRISP RICE","Cereal, crispy rice",57151000,Grain Products
08025,"CEREALS RTE,RALSTON CRISP RICE","Cereal, rice flakes",57337000,Grain Products
08028,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN COMPLETE WHEAT FLAKES","Cereal, bran flakes",57207000,Grain Products
08028,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN COMPLETE WHEAT FLAKES",Cereal (Kellogg's All-Bran Complete Wheat Flakes),57208000,Grain Products
08029,"CEREALS RTE,POST BRAN FLAKES",Cereal (Post Bran Flakes),57209000,Grain Products
08030,"CEREALS RTE,KELLOGG,KELLOGG'S FROOT LOOPS",Cereal (Kellogg's Froot Loops),57213000,Grain Products
08030,"CEREALS RTE,KELLOGG,KELLOGG'S FROOT LOOPS","Cereal, fruit rings",57221700,Grain Products
08030,"CEREALS RTE,KELLOGG,KELLOGG'S FROOT LOOPS","Cereal, fruit whirls",57221800,Grain Products
08031,"CEREALS RTE,KELLOGG'S FRSTD MINI-WHEATS,BIG BITE",Cereal (Kellogg's Frosted Mini-Wheats),57214000,Grain Products
08032,"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD RICE KRISPIES","Cereal, frosted rice",57216000,Grain Products
08032,"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD RICE KRISPIES",Cereal (Kellogg's Frosted Krispies),57218000,Grain Products
08034,"CEREALS RTE,POST,FRUITY PEBBLES",Cereal (Post Fruity Pebbles),57223000,Grain Products
08035,"CEREALS RTE,GENERAL MILLS,GOLDEN GRAHAMS",Cereal (General Mills Golden Grahams),57224000,Grain Products
08035,"CEREALS RTE,GENERAL MILLS,GOLDEN GRAHAMS",Cereal (Malt-O-Meal Blueberry Muffin Tops),57305160,Grain Products
08035,"CEREALS RTE,GENERAL MILLS,GOLDEN GRAHAMS",Cereal (Malt-O-Meal Honey Graham Squares),57305400,Grain Products
08037,"CEREALS RTE,GRANOLA,HOMEMADE","Granola, homemade",57228000,Grain Products
08038,"CEREALS RTE,POST,GRAPE-NUTS CRL",Cereal (Post Grape-Nuts),57230000,Grain Products
08038,"CEREALS RTE,POST,GRAPE-NUTS CRL","Cereal, nutty nuggets",57316200,Grain Products
08039,"CEREALS RTE,POST,GRAPE-NUTS FLAKES",Cereal (Post Grape-Nuts Flakes),57231000,Grain Products
08045,"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEERIOS",Cereal (General Mills Cheerios Honey Nut),57241000,Grain Products
08045,"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEERIOS",Cereal (Malt-O-Meal Honey Nut Toasty O's),57305500,Grain Products
08046,"CEREALS RTE,POST,HONEYCOMB CRL",Cereal (Post Honeycomb),57238000,Grain Products
08047,"CEREALS RTE,QUAKER,KING VITAMAN",Cereal (Quaker King Vitaman),57302100,Grain Products
08048,"CEREALS RTE,GENERAL MILLS,KIX","Cereal, corn puffs",57137000,Grain Products
08048,"CEREALS RTE,GENERAL MILLS,KIX",Cereal (General Mills Kix),57303100,Grain Products
08049,"CEREALS RTE,QUAKER,QUAKER OAT LIFE,PLN",Cereal (Quaker Life),57304100,Grain Products
08050,"CEREALS RTE,GENERAL MILLS,LUCKY CHARMS",Cereal (General Mills Lucky Charms),57305100,Grain Products
08057,"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEX",Cereal (General Mills Chex Honey Nut),57240100,Grain Products
08058,"CEREALS RTE,KELLOGG,KELLOGG'S PRODUCT 19",Cereal (Kellogg's Product 19),57325000,Grain Products
08059,"CEREALS RTE,QUAKER,SWT CRUNCH/QUISP",Cereal (Quaker Sweet Crunch),57323000,Grain Products
08059,"CEREALS RTE,QUAKER,SWT CRUNCH/QUISP",Cereal (Quaker Quisp),57328000,Grain Products
08060,"CEREALS RTE,KELLOGG,KELLOGG'S RAISIN BRAN","Cereal, raisin bran",57329000,Grain Products
08060,"CEREALS RTE,KELLOGG,KELLOGG'S RAISIN BRAN",Cereal (Kellogg's Raisin Bran),57330000,Grain Products
08061,"CEREALS RTE,POST RAISIN BRAN CRL",Cereal (Post Raisin Bran),57331000,Grain Products
08064,"CEREALS RTE,GENERAL MILLS,RICE CHEX",Cereal (General Mills Chex Rice),57336000,Grain Products
08065,"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES",Cereal (Malt-O-Meal Crispy Rice),57305200,Grain Products
08065,"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES",Cereal (Kellogg's Rice Krispies),57339000,Grain Products
08066,"CEREALS RTE,QUAKER,QUAKER PUFFED RICE","Cereal, puffed rice",57340000,Grain Products
08067,"CEREALS RTE,KELLOGG,KELLOGG'S SPL K",Cereal (Kellogg's Special K),57344000,Grain Products
08068,"CEREALS RTE,KELLOGG,KELLOGG'S CORN POPS",Cereal (Kellogg's Corn Pops),57347000,Grain Products
08069,"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD FLAKES","Cereal, frosted corn flakes",57348000,Grain Products
08069,"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD FLAKES",Cereal (Kellogg's Frosted Flakes),57349000,Grain Products
08071,"CEREALS RTE,KELLOGG,KELLOGG'S HONEY SMACKS",Cereal (Kellogg's Honey Smacks),57243000,Grain Products
08071,"CEREALS RTE,KELLOGG,KELLOGG'S HONEY SMACKS",Cereal (Malt-O-Meal Golden Puffs),57306500,Grain Products
08071,"CEREALS RTE,KELLOGG,KELLOGG'S HONEY SMACKS","Cereal, puffed wheat, sweetened",57416010,Grain Products
08073,"CEREALS RTE,POST,GOLDEN CRISP",Cereal (Post Golden Crisp),57355000,Grain Products
08074,"CEREALS RTE,RALSTON TASTEEOS","Cereal, toasted oat",57401100,Grain Products
08077,"CEREALS RTE,GENERAL MILLS,WHL GRAIN TOTAL",Cereal (General Mills Total),57406100,Grain Products
08078,"CEREALS RTE,GENERAL MILLS,TRIX",Cereal (General Mills Trix),57407100,Grain Products
08081,"CEREALS RTE,POST,HONEY NUT SHREDDED WHEAT",Cereal (Post Shredded Wheat Honey Nut),57241200,Grain Products
08082,"CEREALS RTE,GENERAL MILLS,WHEAT CHEX",Cereal (General Mills Chex Wheat),57411000,Grain Products
08083,"CEREALS RTE,MALT-O-MEAL,CORN BURSTS",Cereal (Malt-O-Meal Corn Bursts),57305180,Grain Products
08084,"CEREALS RTE,WHEAT GERM,TSTD,PLN","Wheat germ, plain",57412000,Grain Products
08085,"CEREALS RTE,SUN COUNTRY,KRETSCHMER HONEY CRUNCH WHEAT GERM","Wheat germ, with sugar and honey",57413000,Grain Products
08087,"CEREALS RTE,GENERAL MILLS,MULTI-GRAIN CHEERIOS",Cereal (General Mills Cheerios Multigrain),57308400,Grain Products
08089,"CEREALS RTE,GENERAL MILLS,WHEATIES",Cereal (General Mills Wheaties),57418000,Grain Products
08120,"CEREALS,OATS,REG & QUICK,NOT FORT,DRY","Oats, raw",57602100,Grain Products
08138,"CEREALS RTE,MALT-O-MEAL,MARSHMLLW MATEYS",Cereal (Malt-O-Meal Marshmallow Mateys),57305600,Grain Products
08146,"CEREALS RTE,QUAKER,QUAKER PUFFED WHEAT","Cereal, puffed wheat, plain",57416000,Grain Products
08189,"CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA WO/ RAISINS",Cereal (Kellogg's Low Fat Granola),57229000,Grain Products
08189,"CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA WO/ RAISINS",Cereal (Kellogg's Special K Low Fat Granola),57344007,Grain Products
08192,"CEREALS RTE,POST SELECTS BLUEBERRY MORNING",Cereal (Post Selects Blueberry Morning),57106530,Grain Products
08194,"CEREALS RTE,GENERAL MILLS,REESE'S PUFFS",Cereal (General Mills Reese's Puffs),57335550,Grain Products
08202,"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP,CRUNCHY ALMOND",Cereal (General Mills Oatmeal Crisp with Almonds),57316450,Grain Products
08204,"CEREALS RTE,CHOCOLATE-FLAVORED FRSTD PUFFED CORN","Cereal, chocolate flavored, frosted, puffed corn",57124200,Grain Products
08206,"CEREALS RTE,MALT-O-MEAL,COCO-ROOS",Cereal (Malt-O-Meal Coco-Roos),57305170,Grain Products
08211,"CEREALS RTE,QUAKER,HONEY GRAHAM OH!S",Cereal (Quaker Honey Graham Oh's),57316710,Grain Products
08214,"CEREALS RTE,QUAKER,OATMEAL SQUARES",Cereal (Quaker Oatmeal Squares),57327500,Grain Products
08216,"CEREALS RTE,QUAKER,TSTD MULTIGRAIN CRISPS",Cereal (Quaker Toasted Oat Bran),57327450,Grain Products
08218,"CEREALS RTE,QUAKER,QUAKER GRANOLA W/ OATS,WHEAT& RAISINS","Cereal (Quaker Granola with Oats, Honey, and Raisins)",57320500,Grain Products
08239,"CEREALS RTE,GENERAL MILLS,BERRY BURST CHEERIOS,TRIPLE BERRY",Cereal (General Mills Cheerios Berry Burst),57106260,Grain Products
08243,"CEREALS RTE,GENERAL MILLS,HONEY NUT CLUSTERS",Cereal (General Mills Honey Nut Clusters),57125900,Grain Products
08244,"CEREALS RTE,GENERAL MILLS,FIBER ONE BRAN CRL",Cereal (General Mills Fiber One),57206700,Grain Products
08245,"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP,HEARTY RAISIN",Cereal (General Mills Oatmeal Crisp with Raisins),57316500,Grain Products
08247,"CEREALS RTE,GENERAL MILLS,TOTAL RAISIN BRAN",Cereal (General Mills Total Raisin Bran),57332050,Grain Products
08259,"CEREALS RTE,KELLOGG,KELLOGG'S CRISPIX",Cereal (Kellogg's Crispix),57148000,Grain Products
08261,"CEREALS RTE,GENERAL MILLS,RAISIN NUT BRAN",Cereal (General Mills Raisin Nut Bran),57332100,Grain Products
08262,"CEREALS RTE,GENERAL MILLS,BASIC 4",Cereal (General Mills Basic 4),57106100,Grain Products
08263,"CEREALS RTE,GENERAL MILLS,APPL CINN CHEERIOS",Cereal (General Mills Cheerios Apple Cinnamon),57103100,Grain Products
08267,"CEREALS RTE,GENERAL MILLS,FRSTD CHEERIOS",Cereal (General Mills Cheerios Frosted),57213850,Grain Products
08268,"CEREALS RTE,GENERAL MILLS,FRANKENBERRY",Cereal (General Mills Frankenberry),57211000,Grain Products
08270,"CEREALS RTE,GENERAL MILLS,COUNT CHOCULA",Cereal (General Mills Count Chocula),57139000,Grain Products
08271,"CEREALS RTE,GENERAL MILLS,COCOA PUFFS",Cereal (General Mills Cocoa Puffs),57128000,Grain Products
08272,"CEREALS RTE,GENERAL MILLS,CINN TOAST CRUNCH",Cereal (General Mills Cinnamon Toast Crunch),57125000,Grain Products
08273,"CEREALS RTE,GENERAL MILLS,BOO BERRY",Cereal (General Mills Boo Berry),57107000,Grain Products
08274,"CEREALS RTE,GENERAL MILLS,BERRY BERRY KIX",Cereal (General Mills Kix Berry Berry),57106250,Grain Products
08277,"CEREALS RTE,GENERAL MILLS,NATURE VALLEY LOFAT FRUIT GRANOLA",Cereal (Nature Valley Granola),57309100,Grain Products
08284,"CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA W/ RAISINS","Cereal, granola",57227000,Grain Products
08284,"CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA W/ RAISINS",Cereal (Kellogg's Low Fat Granola with Raisins),57229500,Grain Products
08286,"CEREALS RTE,KELLOGG,KELLOGG'S MUESLIX","Cereal, muesli",57308190,Grain Products
08288,"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES TREATS CRL",Cereal (Kellogg's Rice Krispies Treats Cereal),57339500,Grain Products
08290,"CEREALS RTE,HEALTH VALLEY,FIBER 7 FLAKES",Cereal (Healt Valley Fiber 7 Flakes),57206800,Grain Products
08305,"CEREALS RTE,POST,WAFFLE CRISP",Cereal (Post Waffle Crisp),57409100,Grain Products
08309,"CEREALS RTE,KELLOGG,KELLOGG'S HONEY CRUNCH CORN FLAKES",Cereal (Kellogg's Honey Crunch Corn Flakes),57239100,Grain Products
08318,"CEREALS RTE,KELLOGG,KELLOGG'S SMART START ANTIOXIDANTS CRL",Cereal (Kellogg's Smart Start Strong),57341200,Grain Products
08346,"CEREALS RTE,MALT-O-MEAL,COLOSSAL CRUNCH",Cereal (Malt-O-Meal Colossal Crunch),57305174,Grain Products
08349,"CEREALS RTE,MALT-O-MEAL,TOOTIE FRUITIES",Cereal (Malt-O-Meal Tootie Fruities),57306800,Grain Products
08376,"CEREALS RTE,KELLOGG,KELLOGG'S MARSHMLLW FROOT LOOPS",Cereal (Kellogg's Froot Loops Marshmallow),57213010,Grain Products
08380,"CEREALS RTE,KELLOGG,KELLOGG'S,RAISIN BRAN CRUNCH",Cereal (Kellogg's Raisin Bran Crunch),57330010,Grain Products
08383,"CEREALS RTE,KELLOGG,KELLOGG'S SPL K RED BERRIES",Cereal (Kellogg's Special K Red Berries),57344010,Grain Products
08386,"CEREALS RTE,KASHI GOLEAN CRUNCH!",Cereal (Kashi GOLEAN Crunch),57301511,Grain Products
08387,"CEREALS RTE,KASHI HEART TO HEART,HONEY TSTD OAT",Cereal (Kashi Heart to Heart Honey Toasted Oat),57301530,Grain Products
08388,"CEREALS RTE,KASHI 7 WHL GRAIN PUFFS",Cereal (Kashi 7 Whole Grain Puffs),57301500,Grain Products
08390,"CEREALS RTE,KASHI GOOD FRIENDS",Cereal (Kashi Good Friends),57301520,Grain Products
08393,"CEREALS RTE,KASHI GOLEAN",Cereal (Kashi GOLEAN),57301510,Grain Products
08409,"CEREALS RTE,MALT-O-MEAL,FRSTD FLAKES",Cereal (Malt-O-Meal Frosted Flakes),57305210,Grain Products
08435,"CEREALS RTE,UNCLE SAM CRL",Cereal (Uncle Sam),57408100,Grain Products
08462,"CEREALS RTE,KASHI,ORGANIC PROMISE AUTUMN WHEAT",Cereal (Kashi Autumn Wheat),57301505,Grain Products
08469,"CEREALS RTE,KELLOGG'S,RED SUGAR FRSTD FLAKES CRL","Cereal (Kellogg's Frosted Flakes, Reduced Sugar)",57349020,Grain Products
08484,"CEREALS RTE,MALT-O-MEAL,RAISIN BRAN CRL",Cereal (Malt-O-Meal Raisin Bran),57306130,Grain Products
08494,"CEREALS RTE,MALT-O-MEAL,CINN TOASTERS",Cereal (Malt-O-Meal Cinnamon Toasters),57305165,Grain Products
08495,"CEREALS RTE,MALT-O-MEAL,COCOA DYNO-BITES",Cereal (Malt-O-Meal Cocoa Dyno-Bites),57305175,Grain Products
08500,"CEREALS RTE,MALT-O-MEAL,FRSTD MINI SPOONERS",Cereal (Malt-O-Meal Frosted Mini Spooners),57305215,Grain Products
08501,"CEREALS RTE,MALT-O-MEAL,FRUITY DYNO-BITES",Cereal (Malt-O-Meal Fruity Dyno-Bites),57305300,Grain Products
08510,MILK & CRL BAR,Milk 'n Cereal bar,53710600,Grain Products
08513,"CEREALS RTE,GENERAL MILLS,CHOC LUCKY CHARMS",Cereal (General Mills Lucky Charms Chocolate),57124300,Grain Products
08531,"CEREALS RTE,KELLOGG,SPL K,FRUIT & YOGURT",Cereal (Kellogg's Special K Fruit & Yogurt),57344015,Grain Products
08538,"CEREALS RTE,KASHI,HEART TO HEART,OAT FLAKES & BLUEBRY CLSTRS",Cereal (Kashi Heart to Heart Oat Flakes and Blueberry Clusters),57301535,Grain Products
08543,"CEREALS RTE,KELLOGG'S,SPL K VANILLA ALMOND",Cereal (Kellogg's Special K Vanilla Almond),57344020,Grain Products
08544,"CEREALS RTE,POST GREAT GRAINS CRANBERRY ALMOND CRUNCH","Cereal (Post Great Grains, Cranberry Almond Crunch)",57143500,Grain Products
08546,RICE & WHEAT CRL BAR,Cereal or granola bar (Kellogg's Special K bar),53710700,Grain Products
08550,"CEREALS RTE,QUAKER,CHRISTMAS CRUNCH",Cereal (Quaker Christmas Crunch),57117500,Grain Products
08553,"CEREALS RTE,GENERAL MILLS,CHEERIOS,YOGURT BURST,STRAWBERRY",Cereal (General Mills Cheerios Yogurt Burst),57419000,Grain Products
08554,"CEREALS RTE,POST SELECTS MAPLE PECAN CRUNCH",Cereal (Post Maple Pecan Crunch),57307010,Grain Products
08560,"CEREALS RTE,KASHI GO LN CRUNCH!,HONEY ALMOND FLAX",Cereal (Kashi GOLEAN Crunch Honey Almond Flax),57301512,Grain Products
08579,"CEREALS RTE,GENERAL MILLS,25% LESS SUGAR CINN TOAST CRUNCH",Cereal (General Mills 25% Less Sugar Cinnamon Toast Crunch),57125010,Grain Products
08582,"CEREALS RTE,GENERAL MILLS,DORA THE EXPLORER",Cereal (General Mills Dora The Explorer),57201900,Grain Products
08583,"CEREALS RTE,GENERAL MILLS,FRUITY CHEERIOS",Cereal (General Mills Cheerios Fruity),57221810,Grain Products
08584,"CEREALS RTE,KELLOGG'S SPL K CHOCOLATEY DELIGHT",Cereal (Kellogg's Special K Chocolatey Delight),57344005,Grain Products
08586,"CEREALS RTE,GENERAL MILLS,25% LESS SUGAR TRIX",Cereal (General Mills 25% Less Sugar Trix),57407110,Grain Products
08588,"CEREALS RTE,KELLOGG,KELLOGG'S CINNABON CRL",Cereal (Kellogg's Cinnabon),57124900,Grain Products
08592,"CEREALS RTE,GENERAL MILLS,CHEERIOS,BANANA NUT",Cereal (General Mills Cheerios Banana Nut),57106060,Grain Products
08593,"CEREALS RTE,GENERAL MILLS,CHEERIOS,CHOC",Cereal (General Mills Cheerios Chocolate),57124100,Grain Products
08594,"CEREALS RTE,GENERAL MILLS,CHOC CHEX",Cereal (General Mills Chex Chocolate),57124030,Grain Products
