str,Resource
"Sauce, barbecue",http://idea.rpi.edu/heals/kb/usda#06150
"Sauce, plum, ready-to-serve",http://idea.rpi.edu/heals/kb/usda#06151
"Sauce, pizza, canned",http://idea.rpi.edu/heals/kb/usda#06152
"Soup, tomato bisque, canned",http://idea.rpi.edu/heals/kb/usda#06158
"Soup, tomato, canned",http://idea.rpi.edu/heals/kb/usda#06159
"Sauce, salsa, ready-to-serve",http://idea.rpi.edu/heals/kb/usda#06164
"Sauce, homemade, white",http://idea.rpi.edu/heals/kb/usda#06166
"Sauce, ready-to-serve, pepper or hot",http://idea.rpi.edu/heals/kb/usda#06168
"Sauce, ready-to-serve, pepper",http://idea.rpi.edu/heals/kb/usda#06169
"Soup, stock, beef",http://idea.rpi.edu/heals/kb/usda#06170
"Soup, stock, chicken",http://idea.rpi.edu/heals/kb/usda#06172
"Soup, stock, fish",http://idea.rpi.edu/heals/kb/usda#06174
"Sauce, hoisin, ready-to-serve",http://idea.rpi.edu/heals/kb/usda#06175
"Sauce, oyster, ready-to-serve",http://idea.rpi.edu/heals/kb/usda#06176
"Sauce, fish, ready-to-serve",http://idea.rpi.edu/heals/kb/usda#06179
"Soup, shark fin, restaurant-prepared",http://idea.rpi.edu/heals/kb/usda#06180
"Soup, chicken broth, less/reduced sodium",http://idea.rpi.edu/heals/kb/usda#06183
"Soup, beef broth, less/reduced sodium",http://idea.rpi.edu/heals/kb/usda#06188
"Soup, bean & ham, canned",http://idea.rpi.edu/heals/kb/usda#06190
"Split pea soup, canned, reduced sodium",http://idea.rpi.edu/heals/kb/usda#06192
"Split pea with ham soup, canned, reduced sodium",http://idea.rpi.edu/heals/kb/usda#06193
"Soup, chicken broth, ready-to-serve",http://idea.rpi.edu/heals/kb/usda#06194
"Soup, chicken vegetable with potato and cheese, chunky",http://idea.rpi.edu/heals/kb/usda#06208
"Soup, vegetable, canned",http://idea.rpi.edu/heals/kb/usda#06217
"Sauce, white, thin",http://idea.rpi.edu/heals/kb/usda#06264
NFSMI Recipe No. G-08,http://idea.rpi.edu/heals/kb/usda#06264
"Sauce, sweet and sour, prepared-from-recipe",http://idea.rpi.edu/heals/kb/usda#06285
NFSMI Recipe No. G-05,http://idea.rpi.edu/heals/kb/usda#06285
"Sauce, barbecue, KRAFT",http://idea.rpi.edu/heals/kb/usda#06307
"Soup, HEALTHY CHOICE Chicken Noodle Soup, canned",http://idea.rpi.edu/heals/kb/usda#06314
"Soup, HEALTHY CHOICE Chicken and Rice Soup, canned",http://idea.rpi.edu/heals/kb/usda#06315
"Soup, HEALTHY CHOICE Garden Vegetable Soup, canned",http://idea.rpi.edu/heals/kb/usda#06316
"CAMPBELL'S, Cream of Mushroom Soup, condensed",http://idea.rpi.edu/heals/kb/usda#06338
"CAMPBELL'S, Tomato Soup, condensed",http://idea.rpi.edu/heals/kb/usda#06377
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",http://idea.rpi.edu/heals/kb/usda#06395
"CAMPBELL'S CHUNKY, Hearty Beef Barley Soup",http://idea.rpi.edu/heals/kb/usda#06415
"CAMPBELL'S CHUNKY, New England Clam Chowder",http://idea.rpi.edu/heals/kb/usda#06431
"Soup, beef broth, bouillon",http://idea.rpi.edu/heals/kb/usda#06432
"CAMPBELL'S CHUNKY, Old Fashioned Vegetable Beef Soup",http://idea.rpi.edu/heals/kb/usda#06434
"Soup, turkey noodle, canned",http://idea.rpi.edu/heals/kb/usda#06465
"Soup, turkey vegetable, canned",http://idea.rpi.edu/heals/kb/usda#06466
"Soup, cream of chicken, dry",http://idea.rpi.edu/heals/kb/usda#06483
"Soup, tomato, dry",http://idea.rpi.edu/heals/kb/usda#06498
"Soup, ramen noodle, any flavor",http://idea.rpi.edu/heals/kb/usda#06583
"Soup, broccoli cheese, canned",http://idea.rpi.edu/heals/kb/usda#06584
"Soup, SWANSON, beef broth",http://idea.rpi.edu/heals/kb/usda#06611
"Soup, SWANSON, vegetable broth",http://idea.rpi.edu/heals/kb/usda#06615
"Sauce, peanut, made from coconut",http://idea.rpi.edu/heals/kb/usda#06618
"SMART SOUP, Santa Fe Corn Chowder",http://idea.rpi.edu/heals/kb/usda#06619
"SMART SOUP, French Lentil",http://idea.rpi.edu/heals/kb/usda#06620
"SMART SOUP, Greek Minestrone",http://idea.rpi.edu/heals/kb/usda#06621
"SMART SOUP, Indian Bean Masala",http://idea.rpi.edu/heals/kb/usda#06622
"SMART SOUP, Moroccan Chick Pea",http://idea.rpi.edu/heals/kb/usda#06623
"SMART SOUP, Thai Coconut Curry",http://idea.rpi.edu/heals/kb/usda#06624
"SMART SOUP, Vietnamese Carrot Lemongrass",http://idea.rpi.edu/heals/kb/usda#06625
"Sauce, pesto, ready-to-serve",http://idea.rpi.edu/heals/kb/usda#06626
"Sauce, pesto, BUITONI",http://idea.rpi.edu/heals/kb/usda#06628
"Sauce, pesto, CLASSICO",http://idea.rpi.edu/heals/kb/usda#06629
"Sauce, pesto, MEZZETTA",http://idea.rpi.edu/heals/kb/usda#06630
"Sauce, hot chile, sriracha",http://idea.rpi.edu/heals/kb/usda#06631
"Soup, vegetable broth, ready to serve",http://idea.rpi.edu/heals/kb/usda#06700
"Sauce, cheese sauce mix, dry",http://idea.rpi.edu/heals/kb/usda#06720
"Soup, chicken corn chowder, chunky",http://idea.rpi.edu/heals/kb/usda#06725
"Soup, bean with bacon, condensed",http://idea.rpi.edu/heals/kb/usda#06731
"Soup, vegetable beef, microwavable",http://idea.rpi.edu/heals/kb/usda#06742
"Soup, beef and vegetables, canned",http://idea.rpi.edu/heals/kb/usda#06749
"Sauce, cheese, ready-to-serve",http://idea.rpi.edu/heals/kb/usda#06930
"Sauce, pasta, spaghetti/marinara",http://idea.rpi.edu/heals/kb/usda#06931
"Gravy, brown instant, dry",http://idea.rpi.edu/heals/kb/usda#06957
"Gravy, instant beef, dry",http://idea.rpi.edu/heals/kb/usda#06958
"Gravy, instant turkey, dry",http://idea.rpi.edu/heals/kb/usda#06959
"Sauce, alfredo mix, dry",http://idea.rpi.edu/heals/kb/usda#06960
"Sauce, peppers, hot",http://idea.rpi.edu/heals/kb/usda#06961
"Sauce, chili, peppers",http://idea.rpi.edu/heals/kb/usda#06962
Fish broth,http://idea.rpi.edu/heals/kb/usda#06963
"Soup, tomato, low sodium",http://idea.rpi.edu/heals/kb/usda#06964
"Soup, pea, low sodium",http://idea.rpi.edu/heals/kb/usda#06965
"Soup, chicken noodle, low sodium",http://idea.rpi.edu/heals/kb/usda#06966
"Soup, vegetable soup, condensed",http://idea.rpi.edu/heals/kb/usda#06967
"Soup, cream of mushroom, low sodium",http://idea.rpi.edu/heals/kb/usda#06968
"Potato soup, instant, dry mix",http://idea.rpi.edu/heals/kb/usda#06969
"Soup, chicken broth, low sodium",http://idea.rpi.edu/heals/kb/usda#06970
"Sauce, worcestershire",http://idea.rpi.edu/heals/kb/usda#06971
"Sauce, tomato chili sauce, bottled",http://idea.rpi.edu/heals/kb/usda#06972
"Soup, vegetable chicken, canned",http://idea.rpi.edu/heals/kb/usda#06974
"Gravy, meat or poultry, low sodium",http://idea.rpi.edu/heals/kb/usda#06977
"Soup, beef and mushroom, low sodium",http://idea.rpi.edu/heals/kb/usda#06978
"Soup, beef stroganoff, canned",http://idea.rpi.edu/heals/kb/usda#06980
"Soup, bouillon cubes and granules, low sodium",http://idea.rpi.edu/heals/kb/usda#06981
"Soup, ramen noodle, beef flavor",http://idea.rpi.edu/heals/kb/usda#06982
"Soup, ramen noodle, chicken flavor",http://idea.rpi.edu/heals/kb/usda#06983
"Gravy, HEINZ Home Style, savory beef",http://idea.rpi.edu/heals/kb/usda#06985
"Gravy, CAMPBELL'S, chicken",http://idea.rpi.edu/heals/kb/usda#06999
"Barbecue loaf, pork, beef",http://idea.rpi.edu/heals/kb/usda#07001
"Beerwurst, beer salami, pork and beef",http://idea.rpi.edu/heals/kb/usda#07002
"Beerwurst, beer salami, pork",http://idea.rpi.edu/heals/kb/usda#07003
"Sausage, Berliner, pork",http://idea.rpi.edu/heals/kb/usda#07004
Blood sausage,http://idea.rpi.edu/heals/kb/usda#07005
"Bockwurst, pork, veal",http://idea.rpi.edu/heals/kb/usda#07006
"Bologna, beef",http://idea.rpi.edu/heals/kb/usda#07007
"Bologna, beef and pork",http://idea.rpi.edu/heals/kb/usda#07008
"Bologna, pork",http://idea.rpi.edu/heals/kb/usda#07010
"Bologna, turkey",http://idea.rpi.edu/heals/kb/usda#07011
"Bratwurst, pork, cooked",http://idea.rpi.edu/heals/kb/usda#07013
"Braunschweiger , pork",http://idea.rpi.edu/heals/kb/usda#07014
"Bratwurst, pork, beef",http://idea.rpi.edu/heals/kb/usda#07015
"Cheesefurter, cheese smokie, pork",http://idea.rpi.edu/heals/kb/usda#07016
Chicken spread,http://idea.rpi.edu/heals/kb/usda#07018
"Sausage, pork, chorizo",http://idea.rpi.edu/heals/kb/usda#07019
"Corned beef loaf, jellied",http://idea.rpi.edu/heals/kb/usda#07020
"Dutch brand loaf, chicken, pork and beef",http://idea.rpi.edu/heals/kb/usda#07021
"Frankfurter, beef, unheated",http://idea.rpi.edu/heals/kb/usda#07022
hot dog,http://idea.rpi.edu/heals/kb/usda#07022
frank,http://idea.rpi.edu/heals/kb/usda#07022
wiener,http://idea.rpi.edu/heals/kb/usda#07022
"Frankfurter, chicken",http://idea.rpi.edu/heals/kb/usda#07024
hot dog,http://idea.rpi.edu/heals/kb/usda#07024
wiener,http://idea.rpi.edu/heals/kb/usda#07024
frank,http://idea.rpi.edu/heals/kb/usda#07024
"Frankfurter, turkey",http://idea.rpi.edu/heals/kb/usda#07025
hot dog,http://idea.rpi.edu/heals/kb/usda#07025
wiener,http://idea.rpi.edu/heals/kb/usda#07025
frank,http://idea.rpi.edu/heals/kb/usda#07025
"Ham, chopped, canned",http://idea.rpi.edu/heals/kb/usda#07026
"Ham, chopped, not canned",http://idea.rpi.edu/heals/kb/usda#07027
"Ham, sliced, pre-packaged",http://idea.rpi.edu/heals/kb/usda#07028
"Ham, sliced, regular ",http://idea.rpi.edu/heals/kb/usda#07029
"Ham, minced",http://idea.rpi.edu/heals/kb/usda#07030
Ham salad spread,http://idea.rpi.edu/heals/kb/usda#07031
Ham and cheese loaf or roll,http://idea.rpi.edu/heals/kb/usda#07032
Ham and cheese spread,http://idea.rpi.edu/heals/kb/usda#07033
"Headcheese, pork",http://idea.rpi.edu/heals/kb/usda#07034
"Sausage, Italian, pork",http://idea.rpi.edu/heals/kb/usda#07036
"Knackwurst, knockwurst, pork",http://idea.rpi.edu/heals/kb/usda#07038
"Lebanon bologna, beef",http://idea.rpi.edu/heals/kb/usda#07039
"Liver cheese, pork",http://idea.rpi.edu/heals/kb/usda#07040
"Liver sausage, liverwurst, pork",http://idea.rpi.edu/heals/kb/usda#07041
"Roast beef, deli style, prepackaged",http://idea.rpi.edu/heals/kb/usda#07043
"Luncheon meat, pork, canned",http://idea.rpi.edu/heals/kb/usda#07045
"Turkey breast, low salt, prepackaged or deli",http://idea.rpi.edu/heals/kb/usda#07046
"Mortadella, beef, pork",http://idea.rpi.edu/heals/kb/usda#07050
"Olive loaf, pork",http://idea.rpi.edu/heals/kb/usda#07051
"Pastrami, turkey",http://idea.rpi.edu/heals/kb/usda#07052
"Pate, chicken liver, canned",http://idea.rpi.edu/heals/kb/usda#07053
"Pate, goose liver, smoked",http://idea.rpi.edu/heals/kb/usda#07054
"Pate, liver, not specified",http://idea.rpi.edu/heals/kb/usda#07055
"Peppered loaf, pork, beef",http://idea.rpi.edu/heals/kb/usda#07056
"Pepperoni, beef and pork, sliced",http://idea.rpi.edu/heals/kb/usda#07057
"Pickle and pimiento loaf, pork",http://idea.rpi.edu/heals/kb/usda#07058
"Polish sausage, pork",http://idea.rpi.edu/heals/kb/usda#07059
"Luxury loaf, pork",http://idea.rpi.edu/heals/kb/usda#07060
"Mother's loaf, pork",http://idea.rpi.edu/heals/kb/usda#07061
"Picnic loaf, pork, beef",http://idea.rpi.edu/heals/kb/usda#07062
"Pork sausage, link/patty, unprepared",http://idea.rpi.edu/heals/kb/usda#07063
"Pork sausage, link/patty, cooked",http://idea.rpi.edu/heals/kb/usda#07064
"Sausage, pork and beef, fresh",http://idea.rpi.edu/heals/kb/usda#07065
"Sausage, turkey, reduced fat",http://idea.rpi.edu/heals/kb/usda#07066
Poultry salad sandwich spread,http://idea.rpi.edu/heals/kb/usda#07067
"Salami, cooked, beef",http://idea.rpi.edu/heals/kb/usda#07068
"Salami, cooked, beef and pork",http://idea.rpi.edu/heals/kb/usda#07069
"Salami, cooked, turkey",http://idea.rpi.edu/heals/kb/usda#07070
"Salami, dry or hard, pork",http://idea.rpi.edu/heals/kb/usda#07071
"Sandwich spread, pork, beef",http://idea.rpi.edu/heals/kb/usda#07073
"Sausage, smoked link sausage, pork",http://idea.rpi.edu/heals/kb/usda#07074
"Sausage, smoked link sausage, pork and beef",http://idea.rpi.edu/heals/kb/usda#07075
"Sausage, smoked link sausage, pork and beef ",http://idea.rpi.edu/heals/kb/usda#07077
"Thuringer, cervelat, summer sausage",http://idea.rpi.edu/heals/kb/usda#07078
"Turkey breast, sliced, prepackaged",http://idea.rpi.edu/heals/kb/usda#07081
"Sausage, Vienna, canned",http://idea.rpi.edu/heals/kb/usda#07083
"Honey roll sausage, beef",http://idea.rpi.edu/heals/kb/usda#07088
"Luncheon sausage, pork and beef",http://idea.rpi.edu/heals/kb/usda#07090
"Sausage, New england brand, pork",http://idea.rpi.edu/heals/kb/usda#07091
"Oscar Mayer, Bologna ",http://idea.rpi.edu/heals/kb/usda#07201
"Oscar Mayer, Braunschweiger Liver Sausage ",http://idea.rpi.edu/heals/kb/usda#07207
"Oscar Mayer, Chicken Breast ",http://idea.rpi.edu/heals/kb/usda#07209
"Oscar Mayer, Ham ",http://idea.rpi.edu/heals/kb/usda#07212
"Oscar Mayer, Salami ",http://idea.rpi.edu/heals/kb/usda#07230
"Oscar Mayer, Smokies Sausage Little Cheese ",http://idea.rpi.edu/heals/kb/usda#07236
"Oscar Mayer, Wieners ",http://idea.rpi.edu/heals/kb/usda#07241
hot dog,http://idea.rpi.edu/heals/kb/usda#07241
frankfurter,http://idea.rpi.edu/heals/kb/usda#07241
hotdog,http://idea.rpi.edu/heals/kb/usda#07241
wiener,http://idea.rpi.edu/heals/kb/usda#07241
"Bacon, turkey, unprepared",http://idea.rpi.edu/heals/kb/usda#07254
Hormel Pillow Pak Sliced Turkey Pepperoni,http://idea.rpi.edu/heals/kb/usda#07278
"Sausage, turkey, pork",http://idea.rpi.edu/heals/kb/usda#07900
"Frankfurter, beef, pork",http://idea.rpi.edu/heals/kb/usda#07905
hot dog,http://idea.rpi.edu/heals/kb/usda#07905
wiener,http://idea.rpi.edu/heals/kb/usda#07905
frank,http://idea.rpi.edu/heals/kb/usda#07905
"Luncheon meat, pork, ham",http://idea.rpi.edu/heals/kb/usda#07906
"Luncheon meat, pork with ham, minced",http://idea.rpi.edu/heals/kb/usda#07908
"Luncheon meat, pork and chicken, minced",http://idea.rpi.edu/heals/kb/usda#07909
"Bratwurst, veal, cooked",http://idea.rpi.edu/heals/kb/usda#07910
Liverwurst spread,http://idea.rpi.edu/heals/kb/usda#07911
Roast beef spread,http://idea.rpi.edu/heals/kb/usda#07912
"Salami, pork, beef",http://idea.rpi.edu/heals/kb/usda#07913
"Sausage, Italian, sweet",http://idea.rpi.edu/heals/kb/usda#07914
"Sausage, Polish, beef with chicken",http://idea.rpi.edu/heals/kb/usda#07915
"Sausage, Polish, pork and beef",http://idea.rpi.edu/heals/kb/usda#07916
"Sausage, pork and beef, with cheddar cheese",http://idea.rpi.edu/heals/kb/usda#07917
"Sausage, summer, pork and beef",http://idea.rpi.edu/heals/kb/usda#07918
"Sausage, turkey, breakfast links",http://idea.rpi.edu/heals/kb/usda#07919
"Swisswurst, pork and beef, with swiss cheese",http://idea.rpi.edu/heals/kb/usda#07920
Bacon and beef sticks,http://idea.rpi.edu/heals/kb/usda#07921
"Bratwurst, beef and pork, smoked",http://idea.rpi.edu/heals/kb/usda#07922
"Bratwurst, chicken, cooked",http://idea.rpi.edu/heals/kb/usda#07923
"Bratwurst, pork, beef and turkey",http://idea.rpi.edu/heals/kb/usda#07924
"Pastrami, beef, 98% fat-free",http://idea.rpi.edu/heals/kb/usda#07925
"Salami, Italian, pork",http://idea.rpi.edu/heals/kb/usda#07926
"Sausage, Italian, turkey",http://idea.rpi.edu/heals/kb/usda#07927
"Sausage, chicken, beef",http://idea.rpi.edu/heals/kb/usda#07928
"Sausage, turkey, hot",http://idea.rpi.edu/heals/kb/usda#07929
"Yachtwurst, with pistachio nuts, cooked",http://idea.rpi.edu/heals/kb/usda#07930
"Beerwurst, pork and beef",http://idea.rpi.edu/heals/kb/usda#07931
"Chicken breast, fat-free, mesquite flavor",http://idea.rpi.edu/heals/kb/usda#07932
"Chicken breast, oven-roasted, fat-free",http://idea.rpi.edu/heals/kb/usda#07933
"Kielbasa, Polish, turkey and beef",http://idea.rpi.edu/heals/kb/usda#07934
"Chicken breast, roll, oven-roasted",http://idea.rpi.edu/heals/kb/usda#07935
"Bologna, pork and turkey, lite",http://idea.rpi.edu/heals/kb/usda#07936
"Bologna, pork, turkey and beef",http://idea.rpi.edu/heals/kb/usda#07937
"Ham, honey, smoked",http://idea.rpi.edu/heals/kb/usda#07938
"Frankfurter, pork",http://idea.rpi.edu/heals/kb/usda#07939
hot dog,http://idea.rpi.edu/heals/kb/usda#07939
wiener,http://idea.rpi.edu/heals/kb/usda#07939
frank,http://idea.rpi.edu/heals/kb/usda#07939
"Macaroni and cheese loaf, chicken, pork and beef",http://idea.rpi.edu/heals/kb/usda#07940
"Salami, Italian, pork and beef",http://idea.rpi.edu/heals/kb/usda#07941
"Pate, truffle flavor",http://idea.rpi.edu/heals/kb/usda#07942
"Turkey, breast, smoked",http://idea.rpi.edu/heals/kb/usda#07943
"Turkey, white, rotisserie",http://idea.rpi.edu/heals/kb/usda#07944
"Frankfurter, beef, heated",http://idea.rpi.edu/heals/kb/usda#07945
hot dog,http://idea.rpi.edu/heals/kb/usda#07945
frank,http://idea.rpi.edu/heals/kb/usda#07945
wiener,http://idea.rpi.edu/heals/kb/usda#07945
"Frankfurter, meat, heated",http://idea.rpi.edu/heals/kb/usda#07949
"Frankfurter, meat",http://idea.rpi.edu/heals/kb/usda#07950
"Scrapple, pork",http://idea.rpi.edu/heals/kb/usda#07951
"Bologna, chicken, turkey",http://idea.rpi.edu/heals/kb/usda#07952
"Pork sausage, link/patty, fully cooked",http://idea.rpi.edu/heals/kb/usda#07953
"Sausage, breakfast sausage, beef",http://idea.rpi.edu/heals/kb/usda#07954
"Sausage, turkey, fresh",http://idea.rpi.edu/heals/kb/usda#07955
"Sausage, beef, fresh",http://idea.rpi.edu/heals/kb/usda#07956
"Sausage, pork and turkey, pre-cooked",http://idea.rpi.edu/heals/kb/usda#07957
"Bologna, chicken, pork",http://idea.rpi.edu/heals/kb/usda#07959
"Chicken breast, deli, rotisserie seasoned",http://idea.rpi.edu/heals/kb/usda#07961
"Frankfurter, meat and poultry, unheated",http://idea.rpi.edu/heals/kb/usda#07962
"Frankfurter, meat and poultry, cooked",http://idea.rpi.edu/heals/kb/usda#07963
"Pork sausage, link/patty, reduced fat",http://idea.rpi.edu/heals/kb/usda#07965
"Kielbasa, fully cooked, grilled",http://idea.rpi.edu/heals/kb/usda#07968
"Kielbasa, fully cooked, pan-fried",http://idea.rpi.edu/heals/kb/usda#07969
"Kielbasa, fully cooked, unheated",http://idea.rpi.edu/heals/kb/usda#07970
"Bologna, meat and poultry",http://idea.rpi.edu/heals/kb/usda#07971
"Meatballs, frozen, Italian style",http://idea.rpi.edu/heals/kb/usda#07972
"Bacon, turkey, microwaved",http://idea.rpi.edu/heals/kb/usda#07973
"Bacon, turkey, low sodium",http://idea.rpi.edu/heals/kb/usda#07974
"Sausage, chicken or turkey, Italian style",http://idea.rpi.edu/heals/kb/usda#07976
"Ham, smoked, extra lean",http://idea.rpi.edu/heals/kb/usda#07977
"Pork sausage, reduced sodium, cooked",http://idea.rpi.edu/heals/kb/usda#07978
"Sausage, pork, turkey",http://idea.rpi.edu/heals/kb/usda#07979
"Acerola, , raw",http://idea.rpi.edu/heals/kb/usda#09001
"Acerola juice, raw",http://idea.rpi.edu/heals/kb/usda#09002
"Apples, raw, with skin ",http://idea.rpi.edu/heals/kb/usda#09003
"Apples, raw, without skin",http://idea.rpi.edu/heals/kb/usda#09004
"Apples, canned, sweetened",http://idea.rpi.edu/heals/kb/usda#09008
"Apples, dehydrated , sulfured",http://idea.rpi.edu/heals/kb/usda#09009
"Apples, dried, sulfured",http://idea.rpi.edu/heals/kb/usda#09011
"Apples, frozen, unsweetened",http://idea.rpi.edu/heals/kb/usda#09014
"Apple juice, canned or bottled, unsweetened",http://idea.rpi.edu/heals/kb/usda#09016
"Apple juice, frozen concentrate, unsweetened",http://idea.rpi.edu/heals/kb/usda#09017
"Applesauce, canned, unsweetened",http://idea.rpi.edu/heals/kb/usda#09019
"Applesauce, canned, sweetened",http://idea.rpi.edu/heals/kb/usda#09020
"Apricots, raw",http://idea.rpi.edu/heals/kb/usda#09021
"Apricots, canned, water pack",http://idea.rpi.edu/heals/kb/usda#09022
"Apricots, canned, juice pack",http://idea.rpi.edu/heals/kb/usda#09024
"Apricots, canned, extra light syrup pack",http://idea.rpi.edu/heals/kb/usda#09025
"Apricots, canned, light syrup pack",http://idea.rpi.edu/heals/kb/usda#09026
"Apricots, canned, heavy syrup pack",http://idea.rpi.edu/heals/kb/usda#09027
"Apricots, canned, extra heavy syrup pack",http://idea.rpi.edu/heals/kb/usda#09029
"Apricots, dehydrated , sulfured",http://idea.rpi.edu/heals/kb/usda#09030
"Apricots, dried, sulfured",http://idea.rpi.edu/heals/kb/usda#09032
"Apricots, frozen, sweetened",http://idea.rpi.edu/heals/kb/usda#09035
"Apricot nectar, canned, with added ascorbic acid",http://idea.rpi.edu/heals/kb/usda#09036
"Avocados, raw, all commercial varieties",http://idea.rpi.edu/heals/kb/usda#09037
"Avocados, raw, California",http://idea.rpi.edu/heals/kb/usda#09038
"Avocados, raw, Florida",http://idea.rpi.edu/heals/kb/usda#09039
"Bananas, raw",http://idea.rpi.edu/heals/kb/usda#09040
"Bananas, dehydrated, or banana powder",http://idea.rpi.edu/heals/kb/usda#09041
"Blackberries, raw",http://idea.rpi.edu/heals/kb/usda#09042
"Blackberry juice, canned",http://idea.rpi.edu/heals/kb/usda#09043
"Cherries, tart, dried",http://idea.rpi.edu/heals/kb/usda#09044
"Blackberries, canned, heavy syrup",http://idea.rpi.edu/heals/kb/usda#09046
"Blackberries, frozen, unsweetened",http://idea.rpi.edu/heals/kb/usda#09048
"Blueberries, raw",http://idea.rpi.edu/heals/kb/usda#09050
"Blueberries, canned, heavy syrup",http://idea.rpi.edu/heals/kb/usda#09052
"Blueberries, wild, frozen ",http://idea.rpi.edu/heals/kb/usda#09053
"Blueberries, frozen, unsweetened ",http://idea.rpi.edu/heals/kb/usda#09054
"Blueberries, frozen, sweetened",http://idea.rpi.edu/heals/kb/usda#09055
"Boysenberries, canned, heavy syrup",http://idea.rpi.edu/heals/kb/usda#09056
"Boysenberries, frozen, unsweetened",http://idea.rpi.edu/heals/kb/usda#09057
"Breadfruit, raw",http://idea.rpi.edu/heals/kb/usda#09059
"Carambola, raw",http://idea.rpi.edu/heals/kb/usda#09060
"Carissa, , raw",http://idea.rpi.edu/heals/kb/usda#09061
"Cherimoya, raw",http://idea.rpi.edu/heals/kb/usda#09062
"Cherries, sour, red",http://idea.rpi.edu/heals/kb/usda#09063
"Cherries, sweet, raw",http://idea.rpi.edu/heals/kb/usda#09070
"Cherries, sweet, canned",http://idea.rpi.edu/heals/kb/usda#09071
"Crabapples, raw",http://idea.rpi.edu/heals/kb/usda#09077
"Cranberries, raw",http://idea.rpi.edu/heals/kb/usda#09078
"Cranberries, dried, sweetened ",http://idea.rpi.edu/heals/kb/usda#09079
"Cranberry sauce, canned, sweetened",http://idea.rpi.edu/heals/kb/usda#09081
"Cranberry-orange relish, canned",http://idea.rpi.edu/heals/kb/usda#09082
"Currants, european black, raw",http://idea.rpi.edu/heals/kb/usda#09083
"Currants, red and white, raw",http://idea.rpi.edu/heals/kb/usda#09084
"Currants, zante, dried",http://idea.rpi.edu/heals/kb/usda#09085
raisin,http://idea.rpi.edu/heals/kb/usda#09085
"Custard-apple, , raw",http://idea.rpi.edu/heals/kb/usda#09086
"Dates, deglet noor",http://idea.rpi.edu/heals/kb/usda#09087
"Elderberries, raw",http://idea.rpi.edu/heals/kb/usda#09088
"Figs, raw",http://idea.rpi.edu/heals/kb/usda#09089
"Figs, canned, water pack",http://idea.rpi.edu/heals/kb/usda#09090
"Figs, canned, light syrup pack",http://idea.rpi.edu/heals/kb/usda#09091
"Figs, canned, heavy syrup pack",http://idea.rpi.edu/heals/kb/usda#09092
"Figs, canned, extra heavy syrup pack",http://idea.rpi.edu/heals/kb/usda#09093
"Figs, dried, uncooked",http://idea.rpi.edu/heals/kb/usda#09094
"Figs, dried, stewed",http://idea.rpi.edu/heals/kb/usda#09095
"Fruit cocktail, , canned",http://idea.rpi.edu/heals/kb/usda#09096
"Fruit salad, , canned",http://idea.rpi.edu/heals/kb/usda#09102
"Gooseberries, raw",http://idea.rpi.edu/heals/kb/usda#09107
"Gooseberries, canned, light syrup pack",http://idea.rpi.edu/heals/kb/usda#09109
"Goji berries, dried",http://idea.rpi.edu/heals/kb/usda#09110
wolfberries,http://idea.rpi.edu/heals/kb/usda#09110
"Grapefruit, raw, pink and red and white",http://idea.rpi.edu/heals/kb/usda#09111
"Grapefruit, raw, pink and red",http://idea.rpi.edu/heals/kb/usda#09112
"Grapefruit, raw, white",http://idea.rpi.edu/heals/kb/usda#09116
"Grapefruit, sections, canned",http://idea.rpi.edu/heals/kb/usda#09119
"Grapefruit juice, white, canned or bottled",http://idea.rpi.edu/heals/kb/usda#09123
"Grapefruit juice, white, canned",http://idea.rpi.edu/heals/kb/usda#09124
"Grapefruit juice, white, frozen concentrate",http://idea.rpi.edu/heals/kb/usda#09125
"Grapefruit juice, pink or red, with added calcium",http://idea.rpi.edu/heals/kb/usda#09127
"Grapefruit juice, white, raw",http://idea.rpi.edu/heals/kb/usda#09128
"Grapes, muscadine, raw",http://idea.rpi.edu/heals/kb/usda#09129
"Grape juice, canned or bottled, unsweetened",http://idea.rpi.edu/heals/kb/usda#09130
"Grapes, american type , raw",http://idea.rpi.edu/heals/kb/usda#09131
"Grapes, red or green ",http://idea.rpi.edu/heals/kb/usda#09132
"Grapes, canned, thompson seedless",http://idea.rpi.edu/heals/kb/usda#09133
"Groundcherries, , raw",http://idea.rpi.edu/heals/kb/usda#09138
"Guavas, common, raw",http://idea.rpi.edu/heals/kb/usda#09139
"Guavas, strawberry, raw",http://idea.rpi.edu/heals/kb/usda#09140
"Guava sauce, cooked",http://idea.rpi.edu/heals/kb/usda#09143
"Jackfruit, raw",http://idea.rpi.edu/heals/kb/usda#09144
"Java-plum, , raw",http://idea.rpi.edu/heals/kb/usda#09145
"Jujube, raw",http://idea.rpi.edu/heals/kb/usda#09146
"Jujube, Chinese, fresh",http://idea.rpi.edu/heals/kb/usda#09147
"Kiwifruit, green, raw",http://idea.rpi.edu/heals/kb/usda#09148
Chinese gooseberry,http://idea.rpi.edu/heals/kb/usda#09148
"Kumquats, raw",http://idea.rpi.edu/heals/kb/usda#09149
"Lemons, raw, without peel",http://idea.rpi.edu/heals/kb/usda#09150
"Lemon juice, raw",http://idea.rpi.edu/heals/kb/usda#09152
"Lemon juice from concentrate, canned or bottled",http://idea.rpi.edu/heals/kb/usda#09153
