,food_id,food_name,food_group,food_subgroup,source_name,nutri_score,nutri_score_category,hasQuality
90,137,Anise,Herbs and Spices,Herbs,Fat,11,D,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB6']"
91,139,Pepper (Spice),Herbs and Spices,Spices,Fat,-1,A,"['high_potassium', 'high_calcium', 'high_iron', 'high_vitaminEGamma', 'high_vitaminK1', 'high_vitaminB5']"
92,140,Pistachio,Nuts,Nuts,Fat,8,C,"['high_potassium', 'high_phosphorus', 'high_vitaminEGamma', 'high_vitaminB1', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB6']"
93,141,Common pea,Pulses,Peas,Fat,-6,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8']"
94,142,Purslane,Herbs and Spices,Herbs,Fat,0,B,['high_vitaminB5']
95,144,Apricot,Fruits,Drupes,Fat,1,B,"['high_vitaminB5', 'high_vitaminB8']"
96,146,Sour cherry,Fruits,Drupes,Fat,1,B,['high_vitaminB5']
97,147,European plum,Fruits,Drupes,Fat,0,B,['high_vitaminB5']
98,148,Almond,Nuts,Nuts,Fat,8,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminEAlpha', 'high_vitaminB2', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
99,149,Peach,Fruits,Drupes,Fat,2,B,"['high_vitaminB5', 'high_vitaminB8']"
100,150,Guava,Fruits,Tropical fruits,Fat,-5,A,['high_vitaminB5']
101,151,Pomegranate,Fruits,Tropical fruits,Fat,3,C,['high_vitaminB5']
102,152,Pear,Fruits,Pomes,Fat,0,B,"['high_vitaminB5', 'high_vitaminB8']"
103,153,Radish,Vegetables,Root vegetables,Fat,-1,A,['high_vitaminB5']
104,154,Garden rhubarb,Vegetables,Stalk vegetables,Fat,-4,A,"['high_vitaminK1', 'high_vitaminB5']"
105,155,Blackcurrant,Fruits,Berries,Fat,11,D,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8']"
106,156,Redcurrant,Fruits,Berries,Fat,9,C,"['high_vitaminB5', 'high_vitaminB8']"
107,157,Gooseberry,Fruits,Berries,Fat,-3,A,"['high_vitaminB5', 'high_vitaminB8']"
108,158,Watercress,Herbs and Spices,Herbs,Fat,-2,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8']"
109,159,Rosemary,Herbs and Spices,Herbs,Fat,10,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_vitaminB1', 'high_vitaminB2', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
110,162,Red raspberry,Fruits,Berries,Fat,2,B,['high_vitaminB5']
111,164,Sorrel,Herbs and Spices,Herbs,Fat,-4,A,['high_vitaminB5']
112,165,Common sage,Herbs and Spices,Herbs,Fat,7,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_vitaminEAlpha', 'high_vitaminK1', 'high_vitaminB1', 'high_vitaminB3', 'high_vitaminB6', 'high_vitaminB11']"
113,166,Black elderberry,Fruits,Berries,Fat,-1,A,[]
114,167,Summer savory,Herbs and Spices,Herbs,Fat,4,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_vitaminB1', 'high_vitaminB6']"
115,169,Rye,Cereals and cereal products,Cereals,Fat,6,C,"['high_phosphorus', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
116,170,Sesame,Herbs and Spices,Oilseed crops,Fat,10,C,"['high_iron', 'high_phosphorus', 'high_vitaminB1', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
117,173,Garden tomato (var.),Vegetables,Fruit vegetables,Fat,-1,A,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminEAlpha', 'high_vitaminB2', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
118,174,Eggplant,Vegetables,Fruit vegetables,Fat,-2,A,['high_vitaminB5']
119,175,Potato,Vegetables,Tubers,Fat,21,E,"['high_potassium', 'high_vitaminB5', 'high_vitaminB8']"
120,178,Spinach,Vegetables,Leaf vegetables,Fat,-3,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
121,179,Cloves,Herbs and Spices,Spices,Fat,15,D,"['high_potassium', 'high_calcium', 'high_iron', 'high_vitaminEAlpha', 'high_vitaminK1', 'high_vitaminB5']"
122,180,Tamarind,Fruits,Tropical fruits,Fat,7,C,"['high_potassium', 'high_vitaminB1', 'high_vitaminB5']"
123,181,Dandelion,Herbs and Spices,Herbs,Fat,-2,A,"['high_vitaminK1', 'high_vitaminB5']"
124,182,Cocoa bean,Cocoa and cocoa products,Cocoa,Fat,-1,A,"['high_phosphorus', 'high_vitaminB5']"
125,183,Common thyme,Herbs and Spices,Herbs,Fat,5,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_vitaminEAlpha', 'high_vitaminK1', 'high_vitaminB1', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
126,184,Linden,Herbs and Spices,Herbs,Fat,-4,A,[]
127,186,Fenugreek,Herbs and Spices,Herbs,Fat,7,C,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminB6']"
128,187,Common wheat,Cereals and cereal products,Cereals,Fat,5,C,"['high_phosphorus', 'high_vitaminEGamma', 'high_vitaminB1', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB8']"
129,191,Highbush blueberry,Fruits,Berries,Fat,-1,A,"['high_vitaminEAlpha', 'high_vitaminK1', 'high_vitaminB5']"
130,192,American cranberry,Fruits,Berries,Fat,-3,A,['high_vitaminB5']
131,193,Bilberry,Fruits,Berries,Fat,-1,A,['high_vitaminB5']
132,197,Broad bean,Pulses,Beans,Fat,-6,A,"['high_vitaminB5', 'high_vitaminB11']"
133,198,Adzuki bean,Pulses,Beans,Fat,-6,A,"['high_potassium', 'high_iron', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB11']"
134,199,Gram bean,Pulses,Beans,Fat,4,C,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminB5', 'high_vitaminB11']"
135,200,Mung bean,Pulses,Beans,Fat,-2,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB11']"
136,204,Common grape,Fruits,Berries,Fat,6,C,"['high_potassium', 'high_vitaminB5']"
137,205,Corn,Cereals and cereal products,Cereals,Fat,9,C,"['high_vitaminB5', 'high_vitaminB8']"
138,206,Ginger,Herbs and Spices,Spices,Fat,1,B,['high_vitaminB5']
139,264,Red beetroot,Vegetables,Root vegetables,Fat,2,B,['high_vitaminB5']
140,284,Winter squash,Gourds,Gourds,Fat,0,B,['high_vitaminB5']
141,288,Allspice,Herbs and Spices,Spices,Fat,13,D,"['high_potassium', 'high_calcium', 'high_iron']"
142,289,Amaranth,Herbs and Spices,Herbs,Fat,-6,A,"['high_potassium', 'high_vitaminK1', 'high_vitaminB5', 'high_vitaminB11']"
